"source","context","target"
"Demos directory","","ﺮﻳﻮﺼﺘﻟﺍ ﻒﻠﻣ ﺢﺘﻓ"
"Themes directory","","ﺕﺎﻤﻴﺜﻟﺍ ﻒﻠﻣ ﺢﺘﻓ"
"Skin Database","","ﺕﺎﻨﻜﺴﻟﺍ ﺔﺒﺘﻜﻣ"
"Skins directory","","ﺕﺎﻨﻜﺴﻟﺍ ﻒﻠﻣ ﺢﺘﻓ"
"Background music volume","","ﺔﻴﻔﻠﺨﻟﺍ ﺕﻮﺻ"
"Assets","","ﻝﺎﻜﺷﻻﺍ"
"Entities","","ﻥﺍﺭﺪﺠﻟﺍ"
"Emoticons","","ﺕﺎﺗﻮﻤﻳﻻﺍ"
"Particles","","ﺰﻠﻜﺗﺭﺎﺒﻟﺍ"
"Assets directory","","ﻝﺎﻜﺷﻻﺍ ﻒﻠﻣ ﺢﺘﻓ"
"https://wiki.ddnet.org/","","https://wiki.ddnet.org/"
"Use current map as background","","ﺔﻴﻔﻠﺨﻛ ﻲﻟﺎﺤﻟﺍ ﺏﺎﻤﻟﺍ ﻡﺍﺪﺨﺘﺳﺍ"
"Debug mode enabled. Press Ctrl+Shift+D to disable debug mode.","","مفعل."
"Existing Player","","ﺩﻮﺟﻮﻣ ﺐﻋﻼﻟﺍ"
"Checking for existing player with your name","","ﻚﻤﺳﺎﺑ ﺐﻋﻻ ﺩﻮﺟﻭ ﻦﻣ ﻖﻘﺤﺘﻟﺍ"
"Game sound volume","","ﺔﺒﻌﻠﻟﺍ ﺕﻮﺻ"
"Chat sound volume","","ﺔﺷﺩﺭﺪﻟﺍ ﺕﻮﺻ"
"Use old chat style","","ﻢﻳﺪﻘﻟﺍ ﺔﺛﺩﺎﺤﻤﻟﺍ ﻞﻜﺷ ﻡﺍﺪﺨﺘﺳﺍ"
"Manual","","ﻱﻭﺪﻳ"
"Race","","ﻕﺎﺒﺳ"
"Auto","","ﻲﺋﺎﻘﻠﺗ"
"Replay","","ﻞﻴﻐﺸﺘﻟﺍ ﺓﺩﺎﻋﺍ"
"Smooth Dynamic Camera","","ﺔﻤﻋﺎﻧ ﺍﺮﻴﻣﺎﻛ ﻚﻴﻣﺎﻨﻳﺩ"
"English translation by the DDNet Team","Translation credits: Add your own name here when you update translations","Arabic translation by Relax, .Yukki, Reko and vMarshu"
"Failed during initialization. Try to change gfx_backend to OpenGL or Vulkan in settings_ddnet.cfg in the config directory and try again.","Graphics error","مجلد التكوين."
"Out of VRAM. Try setting 'cl_skins_loaded_max' to a lower value or remove custom assets (skins, entities, etc.), especially those with high resolution.","Graphics error","نفدت ذاكرة VRAM. حاول تعيين 'cl_skins_loaded_max' إلى قيمة أقل أو إزالة الأصول المخصصة (المظاهر، الكيانات، إلخ)، خاصة تلك ذات الدقة العالية."
"An error during command recording occurred. Try to update your GPU drivers.","Graphics error","حدث خطأ أثناء تسجيل الأمر. حاول تحديث برامج تشغيل GPU الخاصة بك."
"A render command failed. Try to update your GPU drivers.","Graphics error","فشل أمر التصيير. حاول تحديث برامج تشغيل GPU الخاصة بك."
"Submitting the render commands failed. Try to update your GPU drivers.","Graphics error","فشل إرسال أوامر التصيير. حاول تحديث برامج تشغيل GPU الخاصة بك."
"Failed to swap framebuffers. Try to update your GPU drivers.","Graphics error","فشل تبديل مخازن الإطارات المؤقتة (framebuffers). حاول تحديث برامج تشغيل GPU الخاصة بك."
"Unknown error. Try to change gfx_backend to OpenGL or Vulkan in settings_ddnet.cfg in the config directory and try again.","Graphics error","خطأ غير معروف. حاول تغيير gfx_backend إلى OpenGL أو Vulkan في ملف settings_ddnet.cfg داخل دليل الإعدادات وحاول مرة أخرى."
"Could not initialize the given graphics backend, reverting to the default backend now.","Graphics error","تعذر تهيئة واجهة الرسومات المحددة، جاري العودة إلى الواجهة الافتراضية الآن."
"Could not initialize the given graphics backend, this is probably because you didn't install the driver of the integrated graphics card.","Graphics error","بطاقة رسوميات."
"Could not resolve connect address '%s'. See local console for details.","","تعذر تحليل عنوان الاتصال '%s'. راجع وحدة التحكم المحلية للحصول على التفاصيل."
"Connect address error","","خطأ في عنوان الاتصال"
"Press Ctrl+Shift+G to disable debug graphs.","","اضغط Ctrl+Shift+G لتعطيل الرسوم البيانية لتصحيح الأخطاء."
"Could not save downloaded map. Try manually deleting this file: %s","","تعذر حفظ الخريطة التي تم تنزيلها. حاول حذف هذا الملف يدوياً: %s"
"Could not connect dummy","","تعذر اتصال الدمية (dummy)"
"Error playing demo","","خطأ في تشغيل العرض التجريبي (demo)"
"Failed saving the replay!","","فشل حفظ الإعادة!"
"Saving settings to '%s' failed","","فشل حفظ الإعدادات في '%s'"
"Error saving settings","","خطأ في حفظ الإعدادات"
"No demo with this filename exists","","لا يوجد عرض تجريبي بهذا الاسم"
"The width of texture %s is not divisible by %d, or the height is not divisible by %d, which might cause visual bugs.","","الارتفاع."
"""%s"" is not compatible with pnglite and cannot be loaded by old DDNet versions:","","""%s"" غير متوافق مع pnglite ولا يمكن تحميله بواسطة إصدارات DDNet القديمة:"
"The format of texture %s is not RGBA which will cause visual bugs.","","تنسيق النسيج %s ليس RGBA مما سيسبب أخطاء مرئية."
"Preparing demo playback","","جاري التحضير لتشغيل العرض التجريبي"
"Connected","","متصل"
"Loading map file from storage","","جاري تحميل ملف الخريطة من مساحة التخزين"
"Loading demo file from storage","","جاري تحميل ملف العرض التجريبي من مساحة التخزين"
"Some fonts could not be loaded. Check the local console for details.","","تعذر تحميل بعض الخطوط. تحقق من وحدة التحكم المحلية للحصول على التفاصيل."
"Initializing components","","جاري تهيئة المكونات"
"Why are you slowmo replaying to read this?","","لماذا تقوم بإعادة التشغيل بالحركة البطيئة لقراءة هذا؟"
"Initializing assets","","جاري تهيئة الأصول"
"Initializing map logic","","جاري تهيئة منطق الخريطة"
"Sending initial client info","","جاري إرسال معلومات العميل الأولية"
"Quitting. Please wait…","","يرجى الانتظار…"
"Restarting. Please wait…","","جارٍ إعادة التشغيل. يرجى الانتظار…"
"Loading skin files","","جاري تحميل ملفات المظاهر (skins)"
"Team save in progress. You'll be able to load with '/load %s'","","حفظ الفريق قيد التقدم. ستتمكن من التحميل باستخدام '/load %s'"
"Team save in progress. You'll be able to load with '/load %s' if save is successful or with '/load %s' if it fails","","حفظ الفريق قيد التقدم. ستتمكن من التحميل باستخدام '/load %s' إذا نجح الحفظ أو باستخدام '/load %s' إذا فشل"
"Team successfully saved by %s. The database connection failed, using generated save code instead to avoid collisions. Use '/load %s' to continue","","تم حفظ الفريق بنجاح بواسطة %s. فشل اتصال قاعدة البيانات، باستخدام رمز حفظ تم إنشاؤه بدلاً من ذلك لتجنب التضاربات. استخدم '/load %s' للمتابعة"
"Team successfully saved by %s. The database connection failed, using generated save code instead to avoid collisions. Use '/load %s' on %s to continue","","تم حفظ الفريق بنجاح بواسطة %s. فشل اتصال قاعدة البيانات، باستخدام رمز حفظ تم إنشاؤه بدلاً من ذلك لتجنب التضاربات. استخدم '/load %s' على %s للمتابعة"
"Save failed!","","فشل الحفظ!"
"Auto-sync player camera","","مزامنة كاميرا اللاعب تلقائياً"
"Disabled","Auto camera","معطل"
"Enabled","Auto camera","مُفعل"
"Unavailable for this player","Auto camera","غير متاح لهذا اللاعب"
"Inactive","Auto camera","غير نشط"
"Active","Auto camera","نشط"
"Searching","","جاري البحث"
"Enter Username","","أدخل اسم المستخدم"
"Enter Password","","أدخل كلمة المرور"
"NOT CONNECTED","","غير متصل"
"Match %d of %d","","نتيجة %d من %d"
"No results","","لا توجد نتائج"
"Lines %d - %d (%s)","","الأسطر %d - %d (%s)"
"Locked","","مقفل"
"Following","","يتابع"
"Loading commands…","","جارٍ تحميل الأوامر…"
"Loading maps…","","جارٍ تحميل الخرائط…"
"Position:","","الموضع:"
"Speed:","","السرعة:"
"Angle:","","الزاوية:"
"Multi-View","","عرض متعدد"
"Following %d: %s","Spectating","متابعة %d: %s"
"Following %s","Spectating","متابعة %s"
"AUTO","Spectating Camera Mode Icon","تلقائي"
"Press Esc or Tab to dismiss…","Important alert message","اضغط على Esc أو Tab للرفض…"
"Server alert","","تنبيه الخادم"
"Moderator alert","","تنبيه المشرف"
"Team %d","","فريق %d"
"Press a key…","","اضغط على أي مفتاح…"
"Server could not be started. Make sure to grant the notification permission in the app settings so the server can run in the background.","","تعذر بدء الخادم."
"Server could not be started","","تعذر بدء الخادم"
"Some map images could not be loaded. Check the local console for details.","","تعذر تحميل بعض صور الخريطة. تحقق من وحدة التحكم المحلية للحصول على التفاصيل."
"Loading map","","جاري تحميل الخريطة"
"Uploading map data to GPU","","جاري رفع بيانات الخريطة إلى GPU"
"Some map sounds could not be loaded. Check the local console for details.","","تعذر تحميل بعض أصوات الخريطة. تحقق من وحدة التحكم المحلية للحصول على التفاصيل."
"Loading menu themes","","جاري تحميل سمات القائمة"
"Main menu","","القائمة الرئيسية"
"Rename folder","","إعادة تسمية المجلد"
"Render complete","","اكتمل العرض"
"Are you sure that you want to restart?","","هل أنت متأكد أنك تريد إعادة التشغيل؟"
"Joining Tutorial server","","الانضمام إلى خادم البرنامج التعليمي"
"Your nickname '%s' is already used (%d points). Do you still want to use it?","","لقبك '%s' مستخدم بالفعل (%d نقاط). هل ما زلت تريد استخدامه؟"
"Save skin","","حفظ المظهر"
"Are you sure you want to save your skin? If a skin with this name already exists, it will be replaced.","","هل أنت متأكد أنك تريد حفظ مظهرك؟ إذا كان هناك مظهر بهذا الاسم موجود بالفعل، فسيتم استبداله."
"There's an unsaved map in the editor, you might want to save it.","","توجد خريطة غير محفوظة في المحرر، قد ترغب في حفظها."
"Continue anyway?","","المتابعة على أي حال؟"
"There's an unsaved change in the touch controls editor, you might want to save it.","","هناك تغيير غير محفوظ في محرر أزرار التحكم باللمس، قد ترغب في حفظه."
"This name cannot be used for files and folders","","لا يمكن استخدام هذا الاسم للملفات والمجلدات"
"A demo with this name already exists","","يوجد عرض تجريبي بهذا الاسم بالفعل"
"A folder with this name already exists","","يوجد مجلد بهذا الاسم بالفعل"
"Unable to rename the folder","","تعذر إعادة تسمية المجلد"
"File '%s' already exists, do you want to overwrite it?","","الملف '%s' موجود بالفعل، هل تريد استبداله؟"
"(paused)","","(متوقف مؤقتاً)"
"You will be disconnected from the server.","","سيتم فصلك من الخادم."
"Videos directory","","دليل مقاطع الفيديو"
"Video was saved to '%s'","","تم حفظ مقطع الفيديو في '%s'"
"Join Tutorial Server","","البرنامج التعليمي"
"Skip Tutorial","","تخطي البرنامج التعليمي"
"Getting server list from master server","","جاري الحصول على قائمة الخوادم من الخادم الرئيسي"
"Could not get server list from master server","","تعذر الحصول على قائمة الخوادم من الخادم الرئيسي"
"There are no Tutorial servers available","","لا توجد خوادم للبرنامج التعليمي متاحة"
"Please wait…","","يرجى الانتظار…"
"Retrying…","","جارٍ إعادة المحاولة…"
"Error joining Tutorial server","","خطأ في الانضمام إلى خادم البرنامج التعليمي"
"Could not find a Tutorial server. Check your internet connection.","","تعذر العثور على خادم البرنامج التعليمي. تحقق من اتصالك بالإنترنت."
"You're playing on a local server because no online Tutorial server could be found.\n\nYour record will only be saved locally.","","أنت تلعب على خادم محلي لأنه لم يتم العثور على خادم للبرنامج التعليمي متصل بالإنترنت.\n\nسيتم حفظ سجلك محلياً فقط."
"Could not find online Tutorial server.\nStarting and connecting to local server…","","تعذر العثور على خادم البرنامج التعليمي عبر الإنترنت.\nجارٍ بدء الخادم المحلي والاتصال به…"
"Waiting for local server to stop…","","في انتظار توقف الخادم المحلي…"
"Waiting for local server to start…","","في انتظار بدء الخادم المحلي…"
"Cancel","","إلغاء"
"Error checking player name","","خطأ في التحقق من اسم اللاعب"
"Could not check for existing player with your name. Check your internet connection.","","تعذر التحقق من وجود لاعب يحمل اسمك. تحقق من اتصالك بالإنترنت."
"Unable to save the skin with a reserved name","","تعذر حفظ المظهر"
"Unable to save the skin","","تعذر حفظ المظهر"
"Trying to determine UDP connectivity…","","محاولة تحديد اتصال UDP…"
"UDP seems to be filtered.","","يبدو أن UDP تتم تصفيته."
"UDP and TCP IP addresses seem to be different. Try disabling VPN, proxy or network accelerators.","","يبدو أن عناوين IP لـ UDP و TCP مختلفة. حاول تعطيل VPN أو الوكيل أو مسرعات الشبكة."
"No answer from server yet.","","لا يوجد رد من الخادم حتى الآن."
"%d/%d KiB (%.1f KiB/s)","","%d/%d KiB (%.1f KiB/s)"
"Getting game info","","جاري الحصول على معلومات اللعبة"
"Requesting to join the game","","طلب الانضمام إلى اللعبة"
"Loading menu images","","جاري تحميل صور القائمة"
"AFR","","أفريقيا"
"ASI","","ASI"
"AUS","","AUS"
"EUR","","أوروبا"
"NA","","NA"
"SA","","SA"
"CHN","","الصين"
"No local servers found (ports %d-%d)","","لم يتم العثور على خوادم محلية (المنافذ %d-%d)"
"Start and connect to local server","","بدء الخادم المحلي والاتصال به"
"Example of usage","","مثال على الاستخدام"
"Are you sure that you want to disconnect and switch to a different server?","","هل أنت متأكد أنك تريد قطع الاتصال والتبديل إلى خادم مختلف؟"
"No login required","","مطلوب"
"Communities","","المجتمعات"
"Error loading communities","","خطأ في تحميل المجتمعات"
"Click to remove this community from your favorites.","","انقر لإزالة هذا المجتمع من مفضلاتك."
"Click to add this community to your favorites.","","انقر لإضافة هذا المجتمع إلى مفضلاتك."
"Copy info","","نسخ المعلومات"
"Leak IP","","تسريب IP"
"No server selected","","لم يتم تحديد خادم"
"Online friends (%d)","","الأصدقاء المتصلون (%d)"
"Online clanmates (%d)","","أعضاء العشيرة المتصلون (%d)"
"Offline (%d)","friends (server browser)","غير متصل (%d)"
"Click to select server. Double click to join your friend.","","انقر لتحديد الخادم. انقر نقراً مزدوجاً للانضمام إلى صديقك."
"Click to remove this player from your friends list.","","انقر لإزالة هذا اللاعب من قائمة أصدقائك."
"Click to remove this clan from your friends list.","","انقر لإزالة هذه العشيرة من قائمة أصدقائك."
"Add friends by entering their name below or by clicking their name in the player list.","","إضافة صديق."
"Add clanmates by entering their clan below and leaving the name blank.","","إضافة كلان."
"Are you sure that you want to remove the player '%s' from your friends list?","","هل أنت متأكد أنك تريد إزالة اللاعب '%s' من قائمة أصدقائك؟"
"Are you sure that you want to remove the clan '%s' from your friends list?","","هل أنت متأكد أنك تريد إزالة العشيرة '%s' من قائمة أصدقائك؟"
"Add clan","","إضافة عشيرة"
"Add friend","","إضافة صديق"
"Server filter","","تصفية الخوادم"
"Friends","","الأصدقاء"
"Live","Demo playback","مباشر"
"Go to Live","Demo playback","الذهاب إلى البث المباشر"
"Play the current demo","","تشغيل العرض التجريبي الحالي"
"Pause the current demo","","إيقاف العرض التجريبي الحالي مؤقتاً"
"Stop the current demo","","إيقاف العرض التجريبي الحالي"
"Go back the specified duration","","الرجوع للخلف للمدة المحددة"
"%s min.","Demo player duration","%s دقيقة."
"%s sec.","Demo player duration","%s ثانية."
"Change the skip duration","","تغيير مدة التخطي"
"Go forward the specified duration","","التقدم للأمام للمدة المحددة"
"Go back one tick","","الرجوع للخلف تيك واحد"
"Go forward one tick","","التقدم للأمام تيك واحد"
"Go back one marker","","الرجوع للخلف علامة واحدة"
"Go forward one marker","","التقدم للأمام علامة واحدة"
"Slow down the demo","","إبطاء العرض التجريبي"
"Speed up the demo","","تسريع العرض التجريبي"
"Mark the beginning of a cut (right click to reset)","","تحديد بداية المقطع (انقر بزر الماوس الأيمن لإعادة الضبط)"
"Mark the end of a cut (right click to reset)","","تحديد نهاية المقطع (انقر بزر الماوس الأيمن لإعادة الضبط)"
"Export cut as a separate demo","","تصدير المقطع كعرض تجريبي منفصل"
"Close the demo player","","مشغل الديمو"
"Toggle keyboard shortcuts","","تبديل اختصارات لوحة المفاتيح"
"Toggle auto camera","","تبديل الكاميرا التلقائية"
"Export demo cut","","تصدير مقطع العرض التجريبي"
"Cut interval","","فترة المقطع"
"Cut length","","طول المقطع"
"Render cut to video","","تصيير المقطع إلى فيديو"
"Please use a different filename","","الرجاء استخدام اسم ملف مختلف"
"Loading demo files","","تحميل ملفات الديمو"
"All combined","","الكل مدمج"
"No demo selected","","لم يتم تحديد ديمو"
"Folder Link","","رابط المجلد"
"Created","","تم الإنشاء"
"Netversion","","إصدار الشبكة"
"Map size","","حجم الخريطة"
"map not included","Demo details","متضمن"
"Refresh the demo list","","تحديث قائمة الديمو"
"Open the directory that contains the demo files","","افتح المجلد الذي يحتوي على ملفات الديمو"
"Are you sure that you want to disconnect and play this demo?","","هل أنت متأكد أنك تريد قطع الاتصال ولعب هذا الديمو؟"
"Open the selected folder","","افتح المجلد المحدد"
"Play the selected demo","","العب الديمو المحدد"
"Are you sure that you want to delete the folder '%s'?","","هل أنت متأكد أنك تريد حذف المجلد '%s'؟"
"Are you sure that you want to delete the demo '%s'?","","هل أنت متأكد أنك تريد حذف الديمو '%s'؟"
"Delete folder","","حذف المجلد"
"Unable to delete the demo '%s'","","غير قادر على حذف الديمو '%s'"
"Unable to delete the folder '%s'. Make sure it's empty first.","","غير قادر على حذف المجلد '%s'. تأكد من أنه فارغ أولاً."
"Dummy is not allowed on this server","","مسموح"
"Edit touch controls","","تعديل أزرار التحكم باللمس"
"Unsaved changes","","تغييرات غير محفوظة"
"Save all changes before turning off the editor?","","هل تريد حفظ جميع التغييرات قبل إيقاف تشغيل المحرر؟"
"Close","","إغلاق"
"Error loading touch controls","","خطأ في تحميل أزرار التحكم باللمس"
"Could not load touch controls from file. See local console for details.","","تعذر تحميل أزرار التحكم باللمس من الملف. راجع وحدة التحكم المحلية للحصول على التفاصيل."
"Could not load default touch controls from file. See local console for details.","","تعذر تحميل أزرار التحكم باللمس الافتراضية من الملف. راجع وحدة التحكم المحلية للحصول على التفاصيل."
"Could not load touch controls from clipboard. See local console for details.","","تعذر تحميل أزرار التحكم باللمس من الحافظة. راجع وحدة التحكم المحلية للحصول على التفاصيل."
"https://wiki.ddnet.org/wiki/Touch_controls","","https://wiki.ddnet.org/wiki/Touch_controls"
"Community","","المجتمع"
"Round %d/%d","","الجولة %d/%d"
"forbidden","Team status","ممنوع"
"solo","Team status","فردي"
"allowed","Team status","مسموح"
"required","Team status","مطلوب"
"Teams","","الفرق"
"minimum","Team size","الحد الأدنى"
"maximum","Team size","الحد الأقصى"
"Loading…","","جارٍ التحميل…"
"Loading ghost files","","تحميل ملفات الأشباح"
"Ghosts directory","","مجلد الأشباح"
"Activate all","","تفعيل الكل"
"Deactivate all","","إلغاء تفعيل الكل"
"Menu opened. Press Esc key again to close menu.","","تم فتح القائمة. اضغط على مفتاح Esc مرة أخرى لإغلاق القائمة."
"Layout","","التخطيط"
"Visibility","","الرؤية"
"Behavior","","السلوك"
"Save changes","","حفظ التغييرات"
"Discard changes","","تجاهل"
"Delete button","","حذف الزر"
"Are you sure that you want to delete this button?","","هل أنت متأكد أنك تريد حذف هذا الزر؟"
"Duplicate","","تكرار"
"Please save your changes before duplicating a button.","","يرجى حفظ تغييراتك قبل تكرار زر."
"Deselect","","إلغاء التحديد"
"You'll lose unsaved changes after deselecting.","","ستفقد التغييرات غير المحفوظة بعد إلغاء التحديد."
"Width","","العرض"
"Height","","الارتفاع"
"Shape","","الشكل"
"Rectangle","Touch button shape","مستطيل"
"Circle","Touch button shape","دائرة"
"Plain","Touch button label type","عادي"
"Localized","Touch button label type","مترجم"
"Icon","Touch button label type","الأيقونة"
"Behavior type","","نوع السلوك"
"Bind","Touch button behavior","ربط"
"Bind Toggle","Touch button behavior","تبديل الربط"
"Predefined","Touch button behavior","محدد مسبقاً"
"Info","","معلومات"
"Command","","أمر"
"Label","","التسمية"
"Label type","","نوع التسمية"
"Add command","","إضافة أمر"
"Delete command","","حذف أمر"
"Included","Touch button visibility preview","متضمن"
"Excluded","Touch button visibility preview","مستبعد"
"Ignore","Touch button visibility preview","تجاهل"
"Button browser","","متصفح الأزرار"
"You can select buttons directly in the list below, or long press on a touch button on the screen to select it. You can also move and resize buttons by touch.","","يمكنك تحديد الأزرار مباشرة في القائمة أدناه، أو الضغط لفترة طويلة على زر لمس على الشاشة لتحديده. يمكنك أيضاً تحريك وتغيير حجم الأزرار باللمس."
"New button","","زر جديد"
"Select button by touch","","تحديد الزر باللمس"
"No buttons match your filter criteria","","أزرار"
"File","","ملف"
"Buttons","","أزرار"
"Preview","","معاينة"
"Active color","","لون نشط"
"Inactive color","","لون غير نشط"
"Direct touch input while ingame","","إدخال لمس مباشر أثناء اللعب"
"Disabled","Direct touch input","معطل"
"Active action","Direct touch input","إجراء نشط"
"Aim","Direct touch input","تصويب"
"Fire","Direct touch input","إطلاق"
"Hook","Direct touch input","خطاف"
"Direct touch input while spectating","","إدخال لمس مباشر أثناء المشاهدة"
"Preview visibilities","","معاينة الرؤية"
"Preview button visibility while the editor is active.","","معاينة رؤية الزر أثناء تنشيط المحرر."
"Show all buttons","","إظهار جميع الأزرار"
"You can manage your touch controls settings on this page. Only changes that are saved will be available after restarting the client. You can share your touch controls with others by exporting them to the clipboard.\n\nYou can find more detailed information about the touch controls on the DDNet Wiki.","","يمكنك إدارة إعدادات أزرار التحكم باللمس الخاصة بك في هذه الصفحة. فقط التغييرات المحفوظة ستكون متاحة بعد إعادة تشغيل العميل. يمكنك مشاركة أزرار التحكم باللمس الخاصة بك مع الآخرين عن طريق تصديرها إلى الحافظة.\n\nيمكنك العثور على معلومات أكثر تفصيلاً حول أزرار التحكم باللمس على DDNet Wiki."
"Open DDNet Wiki","","افتح DDNet Wiki"
"Error saving touch controls","","خطأ في حفظ أزرار التحكم باللمس"
"Could not save touch controls to file. See local console for details.","","تعذر حفظ أزرار التحكم باللمس في الملف. راجع وحدة التحكم المحلية للحصول على التفاصيل."
"Are you sure that you want to discard the current changes to the touch controls?","","هل أنت متأكد أنك تريد تجاهل التغييرات الحالية على أزرار التحكم باللمس؟"
"Are you sure that you want to reset the touch controls to default?","","هل أنت متأكد أنك تريد إعادة ضبط أزرار التحكم باللمس إلى الافتراضي؟"
"Import from clipboard","","استيراد من الحافظة"
"Are you sure that you want to import the touch controls from the clipboard? This will overwrite your current touch controls.","","هل أنت متأكد أنك تريد استيراد أزرار التحكم باللمس من الحافظة؟ سيؤدي هذا إلى الكتابة فوق أزرار التحكم باللمس الحالية الخاصة بك."
"Export to clipboard","","تصدير إلى الحافظة"
"Save all changes before switching selected button?","","حفظ جميع التغييرات قبل تبديل الزر المحدد؟"
"Discard","","تجاهل"
"No space for button","","لا توجد مساحة للزر"
"There is not enough space available for the button. Check its visibilities and size.","","لا توجد مساحة كافية متاحة للزر. تحقق من الرؤية والحجم الخاص به."
"Selected button not visible","","الزر المحدد غير مرئي"
"The selected button is not visible. Do you want to deselect it or edit its visibility?","","الزر المحدد غير مرئي. هل تريد إلغاء تحديده أو تعديل رؤيته؟"
"Edit","","تعديل"
"Width and height are required to be within the range from %d to %d.","","يجب أن يكون العرض والارتفاع ضمن النطاق من %d إلى %d."
"Button position is outside of the screen.","","موضع الزر خارج الشاشة."
"The selected button is overlapping with other buttons.","","الزر المحدد يتداخل مع أزرار أخرى."
"Wrong button settings","","إعدادات زر خاطئة"
"There is not enough space available to place another button.","","لا توجد مساحة كافية متاحة لوضع زر آخر."
"Ingame","Touch button visibilities","في اللعبة"
"Zoom Allowed","Touch button visibilities","التقريب مسموح"
"Vote Active","Touch button visibilities","التصويت نشط"
"Dummy Allowed","Touch button visibilities","الدمية مسموح بها"
"Dummy Connected","Touch button visibilities","الدمية متصلة"
"Rcon Authed","Touch button visibilities","مصادق عليه في Rcon"
"Demo Player","Touch button visibilities","مشغل الديمو"
"Extra Menu","Touch button visibilities","قائمة إضافية"
"Ingame Menu","Predefined touch button behaviors","قائمة اللعبة"
"Extra Menu","Predefined touch button behaviors","قائمة إضافية"
"Emoticon","Predefined touch button behaviors","رمز تعبيري"
"Spectate","Predefined touch button behaviors","مشاهدة"
"Swap Action","Predefined touch button behaviors","تبديل الإجراء"
"Use Action","Predefined touch button behaviors","استخدام الإجراء"
"Joystick Action","Predefined touch button behaviors","إجراء عصا التحكم"
"Joystick Aim","Predefined touch button behaviors","تصويب عصا التحكم"
"Joystick Fire","Predefined touch button behaviors","إطلاق عصا التحكم"
"Joystick Hook","Predefined touch button behaviors","خطاف عصا التحكم"
"Buttons with this behavior execute console commands like regular key binds.","","الأزرار بهذا السلوك تنفذ أوامر وحدة التحكم مثل ربط المفاتيح العادي."
"Buttons with this behavior cycle between executing one of two or more specified commands.","","الأزرار بهذا السلوك تتبدل بين تنفيذ واحد من أمرين أو أكثر محددين."
"Buttons with this behavior execute some predefined actions.","","الأزرار بهذا السلوك تنفذ بعض الإجراءات المحددة مسبقاً."
"Opens the ingame menu immediately when released.","","يفتح قائمة اللعبة فور تحريره."
"The extra menu button which toggles visibility of buttons with ""Extra Menu"" visibilities. Also opens the ingame menu on long press.","","الزر الإضافي للقائمة الذي يبدل رؤية الأزرار برؤية ""قائمة إضافية"". يفتح أيضاً قائمة اللعبة عند الضغط لفترة طويلة."
"Opens the emoticon selector (this does not work with binds).","","يفتح محدد الرموز التعبيرية (هذا لا يعمل مع الربط)."
"Opens the spectator menu (this does not work with binds).","","يفتح قائمة المشاهد (هذا لا يعمل مع الربط)."
"Swaps the active action (fire and hook) for direct touch input and virtual joysticks.","","يبدل الإجراء النشط (الإطلاق والخطاف) للإدخال المباشر باللمس وعصي التحكم الافتراضية."
"Uses the active action with the current aiming position.","","يستخدم الإجراء النشط مع موضع التصويب الحالي."
"Virtual joystick which uses the active action.","","عصا التحكم الافتراضية التي تستخدم الإجراء النشط."
"Virtual joystick which only aims without using an action.","","عصا التحكم الافتراضية التي تصوب فقط دون استخدام أي إجراء."
"Virtual joystick which always uses fire.","","عصا التحكم الافتراضية التي تستخدم الإطلاق دائماً."
"Virtual joystick which always uses hook.","","عصا التحكم الافتراضية التي تستخدم الخطاف دائماً."
"Player is ingame, i.e. not spectating.","","اللاعب داخل اللعبة، أي ليس مشاهداً."
"Zoom is allowed on this server.","","التقريب مسموح على هذا الخادم."
"A vote is currently active.","","التصويت نشط حالياً."
"Dummy is allowed on this server.","","الدمية مسموح بها على هذا الخادم."
"Dummy is currently connected.","","الدمية متصلة حالياً."
"Player is currently authed in rcon.","","تمت مصادقة اللاعب حالياً في rcon."
"Demo player is currently active.","","مشغل الديمو نشط حالياً."
"The extra menu with the given number is activated.","","القائمة الإضافية بالرقم المعطى مُنشطة."
"Hz","Hertz","هرتز"
"Update Rate","","معدل التحديث"
"Save power by lowering update rate (higher input latency)","","وفر الطاقة عن طريق خفض معدل التحديث (وقت استجابة إدخال أعلى)"
"Settings file","","ملف الإعدادات"
"Open the settings file","","افتح ملف الإعدادات"
"Saves file","","ملف الحفظ"
"Open the saves file","","افتح ملف الحفظ"
"Config directory","","مسار الإعدادات"
"Open the directory that contains the configuration and user files","","افتح المجلد الذي يحتوي على ملفات التكوين والمستخدم"
"Open the directory to add custom themes","","افتح المجلد لإضافة سمات مخصصة"
"Dummy","","دمية"
"Player info change cooldown","","فترة تبريد تغيير معلومات اللاعب"
"Download community skins","","تحميل أشكال المجتمع"
"This skin name cannot be used.","","لا يمكن استخدام اسم هذا الشكل."
"Skin could not be loaded due to an error. Check the local console for details.","","تعذر تحميل الشكل بسبب خطأ. تحقق من وحدة التحكم المحلية للحصول على التفاصيل."
"Skin could not be found.","","لم يتم العثور على الشكل."
"Create a random skin","","إنشاء شكل عشوائي"
"Choose default eyes when joining a server","","العينان"
"No skins match your filter criteria","","لا توجد أشكال تطابق معايير التصفية الخاصة بك"
"Open the directory to add custom skins","","افتح المجلد لإضافة أشكال مخصصة"
"Windowed","","نافذة"
"Windowed borderless","","نافذة بلا حدود"
"Windowed fullscreen","","نافذة بملء الشاشة"
"Desktop fullscreen","","ملء الشاشة لسطح المكتب"
